one,two,three
1.0,2.0,2.0
14.0,11.0,11.0
0.0,0.0,1.0
1.0,0.0,0.0
5.0,2.0,1.0
4.0,2.0,1.0
8.0,5.0,5.0
4.0,1.0,2.0
0.0,2.0,2.0
1.0,3.0,0.0
4.0,2.0,0.0
1.0,1.0,1.0
6.0,2.0,5.0
2.0,3.0,2.0
4.0,5.0,8.0
4.0,3.0,1.0
5.0,5.0,5.0
6.0,3.0,2.0
0.0,0.0,0.0
0.0,0.0,0.0
2.0,0.0,1.0
38.0,27.0,33.0
0.0,1.0,0.0
2.0,1.0,0.0
1.0,3.0,2.0
24.0,37.0,17.0
4.0,5.0,3.0
1.0,1.0,0.0
1.0,1.0,1.0
3.0,4.0,4.0
2.0,1.0,1.0
46.0,30.0,35.0
1.0,2.0,2.0
4.0,4.0,1.0
4.0,1.0,3.0
2.0,4.0,3.0
10.0,6.0,13.0
2.0,0.0,2.0
0.0,0.0,1.0
0.0,1.0,2.0
2.0,2.0,0.0
2.0,2.0,4.0
2.0,1.0,6.0
5.0,3.0,4.0
3.0,8.0,9.0
3.0,6.0,3.0
3.0,4.0,3.0
4.0,1.0,1.0
2.0,0.0,4.0
3.0,5.0,4.0
3.0,4.0,4.0
1.0,2.0,0.0
3.0,2.0,3.0
1.0,1.0,3.0
4.0,2.0,9.0
2.0,1.0,3.0
1.0,2.0,1.0
5.0,5.0,3.0
5.0,1.0,4.0
2.0,3.0,2.0
0.0,0.0,1.0
5.0,5.0,7.0
3.0,4.0,1.0
1.0,3.0,4.0
6.0,2.0,2.0
3.0,2.0,5.0
2.0,0.0,7.0
1.0,3.0,1.0
3.0,5.0,1.0
6.0,6.0,12.0
5.0,6.0,8.0
8.0,0.0,3.0
0.0,0.0,1.0
9.0,10.0,18.0
6.0,4.0,7.0
7.0,11.0,9.0
2.0,4.0,3.0
1.0,1.0,0.0
2.0,2.0,1.0
5.0,9.0,4.0
24.0,19.0,26.0
1.0,0.0,0.0
1.0,2.0,2.0
3.0,3.0,5.0
2.0,2.0,6.0
43.0,29.0,41.0
2.0,2.0,6.0
5.0,3.0,0.0
5.0,6.0,2.0
4.0,1.0,1.0
2.0,1.0,1.0
2.0,6.0,1.0
2.0,3.0,3.0
3.0,4.0,2.0
4.0,3.0,4.0
2.0,0.0,2.0
0.0,4.0,0.0
2.0,2.0,1.0
4.0,1.0,3.0
6.0,3.0,6.0
5.0,13.0,14.0
3.0,3.0,2.0
4.0,6.0,5.0
6.0,3.0,5.0
0.0,0.0,0.0
8.0,3.0,4.0
3.0,5.0,2.0
3.0,3.0,2.0
1.0,1.0,0.0
0.0,0.0,0.0
0.0,4.0,1.0
0.0,1.0,0.0
2.0,2.0,1.0
2.0,3.0,3.0
6.0,2.0,6.0
4.0,5.0,5.0
6.0,4.0,2.0
2.0,1.0,1.0
4.0,7.0,3.0
2.0,4.0,1.0
1.0,2.0,0.0
2.0,1.0,2.0
2.0,1.0,3.0
2.0,1.0,1.0
3.0,2.0,2.0
0.0,1.0,1.0
1.0,3.0,4.0
0.0,1.0,0.0
2.0,6.0,4.0
3.0,1.0,3.0
12.0,12.0,10.0
1.0,0.0,1.0
1.0,1.0,1.0
1.0,1.0,0.0
2.0,2.0,3.0
1.0,1.0,3.0
4.0,4.0,1.0
4.0,5.0,5.0
6.0,8.0,5.0
2.0,1.0,2.0
5.0,0.0,4.0
3.0,2.0,1.0
6.0,8.0,7.0
3.0,1.0,3.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,2.0
4.0,3.0,2.0
0.0,1.0,2.0
1.0,4.0,2.0
2.0,1.0,0.0
0.0,0.0,0.0
4.0,0.0,2.0
3.0,4.0,3.0
2.0,0.0,2.0
5.0,9.0,8.0
2.0,6.0,3.0
1.0,3.0,0.0
5.0,9.0,5.0
3.0,0.0,3.0
8.0,7.0,12.0
7.0,2.0,6.0
3.0,5.0,1.0
4.0,5.0,7.0
12.0,13.0,7.0
4.0,6.0,10.0
1.0,0.0,0.0
1.0,0.0,3.0
2.0,1.0,0.0
3.0,1.0,3.0
6.0,2.0,7.0
2.0,2.0,1.0
3.0,2.0,1.0
2.0,1.0,2.0
3.0,3.0,3.0
1.0,0.0,1.0
5.0,5.0,9.0
0.0,4.0,0.0
5.0,1.0,5.0
3.0,2.0,2.0
1.0,0.0,1.0
1.0,5.0,1.0
2.0,2.0,2.0
0.0,1.0,2.0
1.0,0.0,2.0
2.0,1.0,1.0
0.0,1.0,0.0
1.0,1.0,0.0
4.0,4.0,1.0
3.0,8.0,6.0
1.0,1.0,3.0
8.0,9.0,7.0
4.0,1.0,3.0
3.0,2.0,2.0
1.0,4.0,4.0
3.0,4.0,3.0
1.0,2.0,2.0
5.0,4.0,4.0
2.0,2.0,1.0
0.0,2.0,2.0
5.0,2.0,5.0
4.0,3.0,2.0
2.0,7.0,5.0
0.0,6.0,8.0
7.0,2.0,4.0
5.0,8.0,7.0
5.0,6.0,3.0
6.0,5.0,0.0
7.0,3.0,4.0
2.0,1.0,1.0
10.0,9.0,10.0
5.0,2.0,1.0
6.0,10.0,7.0
1.0,0.0,0.0
1.0,2.0,3.0
2.0,2.0,2.0
1.0,0.0,0.0
4.0,3.0,7.0
3.0,1.0,4.0
2.0,2.0,2.0
2.0,0.0,0.0
5.0,1.0,3.0
0.0,2.0,2.0
2.0,0.0,3.0
5.0,4.0,7.0
2.0,3.0,1.0
1.0,1.0,3.0
1.0,3.0,2.0
0.0,0.0,0.0
1.0,4.0,2.0
2.0,0.0,2.0
1.0,1.0,0.0
4.0,2.0,3.0
2.0,1.0,0.0
1.0,1.0,0.0
3.0,0.0,3.0
1.0,1.0,3.0
0.0,0.0,0.0
0.0,2.0,1.0
1.0,0.0,1.0
1.0,2.0,0.0
0.0,1.0,0.0
6.0,3.0,2.0
1.0,0.0,1.0
1.0,5.0,3.0
2.0,6.0,3.0
1.0,3.0,1.0
7.0,4.0,4.0
4.0,4.0,3.0
1.0,3.0,0.0
1.0,2.0,3.0
5.0,5.0,2.0
7.0,3.0,4.0
3.0,1.0,0.0
4.0,2.0,4.0
2.0,0.0,0.0
1.0,0.0,1.0
1.0,5.0,6.0
4.0,5.0,3.0
0.0,0.0,0.0
0.0,3.0,2.0
1.0,3.0,1.0
4.0,4.0,4.0
4.0,5.0,4.0
0.0,0.0,0.0
3.0,4.0,2.0
0.0,1.0,1.0
3.0,4.0,3.0
3.0,4.0,2.0
1.0,2.0,4.0
1.0,4.0,2.0
1.0,0.0,1.0
3.0,2.0,1.0
1.0,0.0,3.0
2.0,1.0,1.0
1.0,0.0,0.0
0.0,0.0,0.0
1.0,5.0,9.0
0.0,1.0,1.0
2.0,2.0,2.0
4.0,7.0,1.0
7.0,8.0,3.0
7.0,1.0,1.0
2.0,0.0,1.0
0.0,1.0,0.0
1.0,7.0,3.0
2.0,3.0,2.0
0.0,1.0,0.0
6.0,3.0,2.0
6.0,3.0,6.0
1.0,4.0,3.0
5.0,2.0,7.0
3.0,3.0,0.0
3.0,1.0,3.0
1.0,2.0,1.0
3.0,8.0,7.0
1.0,2.0,3.0
4.0,4.0,6.0
3.0,7.0,4.0
0.0,0.0,2.0
0.0,2.0,1.0
1.0,2.0,2.0
0.0,1.0,1.0
4.0,5.0,4.0
1.0,0.0,0.0
6.0,2.0,4.0
1.0,0.0,3.0
1.0,1.0,1.0
0.0,0.0,1.0
3.0,2.0,2.0
0.0,2.0,0.0
0.0,0.0,1.0
4.0,6.0,3.0
0.0,2.0,0.0
2.0,3.0,2.0
12.0,22.0,36.0
3.0,2.0,2.0
3.0,8.0,11.0
2.0,1.0,6.0
1.0,2.0,1.0
7.0,3.0,2.0
7.0,6.0,5.0
4.0,6.0,4.0
0.0,1.0,1.0
2.0,3.0,2.0
1.0,3.0,2.0
5.0,7.0,5.0
0.0,0.0,2.0
1.0,2.0,3.0
5.0,9.0,3.0
1.0,1.0,0.0
0.0,0.0,1.0
1.0,1.0,1.0
1.0,2.0,4.0
1.0,2.0,2.0
1.0,1.0,3.0
1.0,1.0,4.0
4.0,4.0,3.0
4.0,3.0,6.0
2.0,9.0,7.0
1.0,1.0,2.0
8.0,8.0,13.0
0.0,0.0,1.0
0.0,3.0,2.0
0.0,0.0,2.0
0.0,2.0,1.0
1.0,1.0,2.0
1.0,2.0,1.0
4.0,4.0,1.0
2.0,1.0,1.0
0.0,1.0,4.0
3.0,0.0,1.0
1.0,3.0,2.0
0.0,1.0,1.0
21.0,20.0,20.0
2.0,0.0,3.0
1.0,5.0,11.0
4.0,3.0,3.0
2.0,2.0,4.0
2.0,2.0,0.0
0.0,0.0,0.0
0.0,1.0,3.0
2.0,2.0,1.0
0.0,2.0,4.0
0.0,0.0,0.0
4.0,1.0,1.0
4.0,2.0,0.0
0.0,0.0,2.0
6.0,6.0,8.0
2.0,3.0,1.0
4.0,2.0,1.0
0.0,0.0,1.0
2.0,1.0,3.0
2.0,1.0,1.0
5.0,4.0,3.0
2.0,3.0,1.0
1.0,0.0,0.0
9.0,6.0,2.0
2.0,0.0,2.0
3.0,1.0,1.0
19.0,18.0,16.0
12.0,12.0,13.0
3.0,2.0,0.0
2.0,5.0,4.0
1.0,3.0,1.0
1.0,0.0,0.0
2.0,1.0,1.0
1.0,4.0,4.0
7.0,4.0,2.0
6.0,0.0,1.0
2.0,3.0,2.0
4.0,6.0,12.0
6.0,3.0,0.0
2.0,1.0,1.0
4.0,5.0,0.0
0.0,1.0,1.0
1.0,3.0,1.0
10.0,4.0,7.0
2.0,0.0,0.0
6.0,0.0,1.0
0.0,0.0,0.0
2.0,1.0,0.0
1.0,2.0,1.0
8.0,15.0,2.0
0.0,0.0,1.0
3.0,5.0,1.0
2.0,3.0,4.0
3.0,2.0,3.0
4.0,2.0,3.0
0.0,0.0,1.0
22.0,17.0,28.0
1.0,6.0,2.0
3.0,6.0,1.0
1.0,3.0,1.0
1.0,1.0,0.0
3.0,0.0,1.0
3.0,1.0,3.0
0.0,6.0,3.0
6.0,12.0,13.0
1.0,2.0,3.0
2.0,4.0,1.0
3.0,2.0,1.0
0.0,0.0,0.0
6.0,12.0,22.0
0.0,0.0,0.0
0.0,2.0,1.0
3.0,3.0,5.0
0.0,0.0,0.0
4.0,4.0,2.0
3.0,3.0,4.0
3.0,2.0,0.0
3.0,2.0,3.0
3.0,6.0,3.0
3.0,3.0,1.0
1.0,4.0,7.0
1.0,2.0,3.0
0.0,0.0,2.0
1.0,0.0,1.0
2.0,1.0,1.0
1.0,4.0,0.0
1.0,0.0,0.0
1.0,1.0,1.0
2.0,2.0,1.0
10.0,9.0,13.0
2.0,2.0,0.0
3.0,1.0,0.0
1.0,0.0,0.0
5.0,4.0,4.0
4.0,1.0,1.0
1.0,3.0,0.0
2.0,1.0,3.0
4.0,3.0,2.0
2.0,1.0,3.0
2.0,0.0,2.0
2.0,2.0,1.0
5.0,2.0,1.0
3.0,3.0,2.0
1.0,1.0,4.0
9.0,5.0,11.0
1.0,4.0,1.0
1.0,3.0,3.0
1.0,1.0,6.0
6.0,5.0,9.0
8.0,8.0,5.0
4.0,2.0,0.0
0.0,0.0,1.0
3.0,3.0,1.0
11.0,3.0,2.0
5.0,4.0,1.0
3.0,1.0,1.0
1.0,3.0,2.0
5.0,5.0,3.0
3.0,4.0,2.0
3.0,6.0,4.0
1.0,2.0,0.0
8.0,20.0,20.0
1.0,2.0,2.0
1.0,0.0,0.0
4.0,0.0,2.0
3.0,4.0,2.0
1.0,0.0,0.0
1.0,1.0,0.0
2.0,5.0,0.0
4.0,1.0,1.0
6.0,6.0,5.0
0.0,0.0,3.0
0.0,4.0,9.0
4.0,4.0,11.0
4.0,1.0,0.0
13.0,6.0,7.0
0.0,0.0,0.0
1.0,6.0,3.0
5.0,3.0,1.0
2.0,4.0,2.0
4.0,1.0,2.0
3.0,2.0,1.0
0.0,0.0,0.0
2.0,2.0,1.0
1.0,3.0,1.0
4.0,6.0,1.0
4.0,3.0,3.0
1.0,0.0,0.0
0.0,0.0,1.0
8.0,2.0,2.0
1.0,1.0,1.0
1.0,1.0,0.0
1.0,4.0,1.0
8.0,4.0,3.0
0.0,2.0,0.0
1.0,3.0,1.0
7.0,1.0,1.0
5.0,4.0,4.0
2.0,2.0,5.0
3.0,5.0,4.0
1.0,2.0,0.0
0.0,0.0,0.0
1.0,2.0,0.0
0.0,1.0,2.0
2.0,1.0,1.0
18.0,10.0,6.0
2.0,0.0,3.0
3.0,0.0,1.0
0.0,2.0,2.0
2.0,1.0,0.0
2.0,0.0,0.0
0.0,0.0,1.0
6.0,3.0,11.0
2.0,0.0,0.0
1.0,3.0,5.0
1.0,2.0,0.0
1.0,5.0,2.0
1.0,4.0,0.0
2.0,1.0,1.0
4.0,3.0,6.0
0.0,1.0,1.0
0.0,1.0,2.0
2.0,4.0,5.0
1.0,2.0,2.0
3.0,2.0,2.0
2.0,2.0,0.0
2.0,1.0,2.0
0.0,1.0,0.0
3.0,1.0,2.0
2.0,1.0,3.0
2.0,0.0,0.0
0.0,4.0,4.0
1.0,2.0,2.0
0.0,1.0,0.0
1.0,1.0,2.0
0.0,1.0,0.0
1.0,0.0,1.0
6.0,3.0,2.0
0.0,1.0,1.0
0.0,3.0,2.0
